timestamp,algorithm,poly_modulus_degree,scale_bits,plaintext_size_bytes,ciphertext_size_bytes,encryption_time_ms,communication_overhead,security_level_bits,meter_id
2025-12-14 17:02:53.722,CKKS,8192,40,8,334351,5.571,41793.875,128,34
2025-12-14 17:02:53.752,CKKS,8192,40,8,334099,4.272,41762.375,128,1
2025-12-14 17:02:54.328,CKKS,8192,40,8,334328,4.693,41791.000,128,18
2025-12-14 17:02:54.929,CKKS,8192,40,8,334432,5.016,41804.000,128,35
2025-12-14 17:02:54.963,CKKS,8192,40,8,334516,4.471,41814.500,128,2
2025-12-14 17:02:55.539,CKKS,8192,40,8,334415,4.445,41801.875,128,19
2025-12-14 17:02:56.140,CKKS,8192,40,8,334395,4.735,41799.375,128,36
2025-12-14 17:02:56.172,CKKS,8192,40,8,334344,4.494,41793.000,128,3
2025-12-14 17:02:56.750,CKKS,8192,40,8,334184,4.421,41773.000,128,20
2025-12-14 17:02:57.353,CKKS,8192,40,8,334100,5.096,41762.500,128,37
2025-12-14 17:02:57.381,CKKS,8192,40,8,334389,4.428,41798.625,128,4
2025-12-14 17:02:57.969,CKKS,8192,40,8,334255,4.611,41781.875,128,21
2025-12-14 17:02:58.572,CKKS,8192,40,8,333994,4.974,41749.250,128,38
2025-12-14 17:02:58.592,CKKS,8192,40,8,334215,4.385,41776.875,128,5
2025-12-14 17:02:59.182,CKKS,8192,40,8,334384,4.585,41798.000,128,22
2025-12-14 17:02:59.786,CKKS,8192,40,8,334327,5.190,41790.875,128,39
2025-12-14 17:02:59.806,CKKS,8192,40,8,334197,4.375,41774.625,128,6
2025-12-14 17:03:00.390,CKKS,8192,40,8,334256,4.491,41782.000,128,23
2025-12-14 17:03:00.999,CKKS,8192,40,8,334500,4.932,41812.500,128,40
2025-12-14 17:03:01.017,CKKS,8192,40,8,334433,4.692,41804.125,128,7
2025-12-14 17:03:01.602,CKKS,8192,40,8,334161,4.581,41770.125,128,24
2025-12-14 17:03:02.213,CKKS,8192,40,8,334400,6.084,41800.000,128,41
2025-12-14 17:03:02.226,CKKS,8192,40,8,334232,4.396,41779.000,128,8
2025-12-14 17:03:02.813,CKKS,8192,40,8,334217,4.434,41777.125,128,25
2025-12-14 17:03:03.426,CKKS,8192,40,8,334308,4.908,41788.500,128,42
2025-12-14 17:03:03.436,CKKS,8192,40,8,334038,4.336,41754.750,128,9
2025-12-14 17:03:04.025,CKKS,8192,40,8,334171,4.386,41771.375,128,26
2025-12-14 17:03:04.638,CKKS,8192,40,8,334078,4.844,41759.750,128,43
