timestamp,num_smart_meters,total_aggregation_time_ms,memory_usage_mb,cpu_usage_percent,parallel_connections,avg_response_time_ms,throughput_ops_per_sec,cycle_number
2025-12-09 09:59:36.119,10,1765274376119.132,0.000,0.000,10,5.000,0.000,0
2025-12-09 10:00:36.375,10,1765274436375.094,0.000,0.000,10,5.000,0.000,0
2025-12-09 10:01:36.629,10,1765274496629.764,0.000,0.000,10,5.000,0.000,0
2025-12-09 10:02:36.882,10,1765274556882.971,0.000,0.000,10,5.000,0.000,0
2025-12-09 10:03:37.133,10,1765274617133.299,0.000,0.000,10,5.000,0.000,0
2025-12-09 10:04:37.394,10,1765274677394.606,0.000,0.000,10,5.000,0.000,0
2025-12-09 10:05:37.660,10,1765274737660.960,0.000,0.000,10,5.000,0.000,0
2025-12-09 10:06:37.928,10,1765274797928.683,0.000,0.000,10,5.000,0.000,0
2025-12-09 10:07:38.196,10,1765274858196.315,0.000,0.000,10,5.000,0.000,0
2025-12-09 10:08:38.464,10,1765274918464.026,0.000,0.000,10,5.000,0.000,0
2025-12-09 10:09:38.732,10,1765274978732.469,0.000,0.000,10,5.000,0.000,0
2025-12-09 10:10:39.002,10,1765275039002.773,0.000,0.000,10,5.000,0.000,0
2025-12-09 10:11:39.273,10,1765275099273.318,0.000,0.000,10,5.000,0.000,0
2025-12-09 10:12:39.545,10,1765275159545.302,0.000,0.000,10,5.000,0.000,0
2025-12-09 10:13:39.816,10,1765275219816.332,0.000,0.000,10,5.000,0.000,0
2025-12-09 10:14:40.086,10,1765275280086.930,0.000,0.000,10,5.000,0.000,0
2025-12-09 10:15:40.357,10,1765275340357.335,0.000,0.000,10,5.000,0.000,0
2025-12-09 10:16:40.630,10,1765275400630.352,0.000,0.000,10,5.000,0.000,0
