timestamp,node_type,operation,data_size_bytes,latency_ms,throughput_mbps,success,error_type,connection_id
2025-12-09 10:05:37.461,smart_meter,send_encrypted_data,334251,0.409,6537.917,true,none,1
2025-12-09 10:05:37.461,smart_meter,send_encrypted_data,334316,0.361,7408.665,true,none,10
2025-12-09 10:05:37.461,smart_meter,send_encrypted_data,334245,0.353,7574.958,true,none,2
2025-12-09 10:05:37.462,smart_meter,send_encrypted_data,334276,0.625,4278.733,true,none,6
2025-12-09 10:05:37.462,smart_meter,send_encrypted_data,334210,2.226,1201.114,true,none,8
2025-12-09 10:06:37.677,smart_meter,send_encrypted_data,334515,0.441,6068.299,true,none,3
2025-12-09 10:06:37.677,smart_meter,send_encrypted_data,334496,0.453,5907.214,true,none,5
2025-12-09 10:06:37.677,smart_meter,send_encrypted_data,334314,0.446,5996.664,true,none,4
2025-12-09 10:06:37.728,smart_meter,send_encrypted_data,334418,0.464,5765.828,true,none,6
2025-12-09 10:06:37.728,smart_meter,send_encrypted_data,334335,0.468,5715.128,true,none,8
2025-12-09 10:06:37.728,smart_meter,send_encrypted_data,334406,0.459,5828.427,true,none,9
2025-12-09 10:06:37.728,smart_meter,send_encrypted_data,334367,0.477,5607.832,true,none,10
2025-12-09 10:06:37.729,smart_meter,send_encrypted_data,334271,0.356,7511.708,true,none,7
2025-12-09 10:06:37.730,smart_meter,send_encrypted_data,334347,0.379,7057.456,true,none,2
2025-12-09 10:06:37.731,smart_meter,send_encrypted_data,334188,0.358,7467.888,true,none,1
2025-12-09 10:07:37.939,smart_meter,send_encrypted_data,334167,0.372,7186.387,true,none,5
2025-12-09 10:07:37.940,smart_meter,send_encrypted_data,334479,0.448,5972.839,true,none,4
2025-12-09 10:07:37.939,smart_meter,send_encrypted_data,334158,0.390,6854.523,true,none,3
2025-12-09 10:07:37.996,smart_meter,send_encrypted_data,334148,0.396,6750.465,true,none,6
2025-12-09 10:07:37.996,smart_meter,send_encrypted_data,334412,0.404,6622.020,true,none,1
2025-12-09 10:07:37.996,smart_meter,send_encrypted_data,334418,0.488,5482.262,true,none,7
2025-12-09 10:07:37.996,smart_meter,send_encrypted_data,334139,0.456,5862.088,true,none,2
2025-12-09 10:07:37.996,smart_meter,send_encrypted_data,334386,0.374,7152.642,true,none,9
2025-12-09 10:07:37.997,smart_meter,send_encrypted_data,334393,0.565,4734.768,true,none,8
2025-12-09 10:07:37.998,smart_meter,send_encrypted_data,334301,0.413,6475.564,true,none,10
2025-12-09 10:08:38.201,smart_meter,send_encrypted_data,334012,0.397,6730.720,true,none,4
2025-12-09 10:08:38.202,smart_meter,send_encrypted_data,334384,0.434,6163.760,true,none,5
2025-12-09 10:08:38.202,smart_meter,send_encrypted_data,334274,0.434,6161.733,true,none,3
2025-12-09 10:08:38.264,smart_meter,send_encrypted_data,334141,0.491,5444.253,true,none,10
2025-12-09 10:08:38.264,smart_meter,send_encrypted_data,334109,0.491,5443.731,true,none,8
2025-12-09 10:08:38.264,smart_meter,send_encrypted_data,334462,0.478,5597.690,true,none,6
2025-12-09 10:08:38.264,smart_meter,send_encrypted_data,334439,0.388,6895.649,true,none,7
2025-12-09 10:08:38.265,smart_meter,send_encrypted_data,334169,0.438,6103.543,true,none,2
2025-12-09 10:08:38.265,smart_meter,send_encrypted_data,334401,0.471,5679.847,true,none,9
2025-12-09 10:08:38.266,smart_meter,send_encrypted_data,334365,1.001,2672.248,true,none,1
2025-12-09 10:09:38.532,smart_meter,send_encrypted_data,334489,0.447,5986.380,true,none,6
2025-12-09 10:09:38.532,smart_meter,send_encrypted_data,334236,0.475,5629.238,true,none,1
2025-12-09 10:09:38.532,smart_meter,send_encrypted_data,334352,0.473,5655.002,true,none,2
2025-12-09 10:09:38.533,smart_meter,send_encrypted_data,334392,0.567,4718.053,true,none,10
2025-12-09 10:09:38.533,smart_meter,send_encrypted_data,334226,0.467,5725.499,true,none,8
2025-12-09 10:09:38.533,smart_meter,send_encrypted_data,334110,0.469,5699.104,true,none,7
2025-12-09 10:09:38.533,smart_meter,send_encrypted_data,334308,0.350,7641.326,true,none,9
2025-12-09 10:09:38.561,smart_meter,send_encrypted_data,334216,0.365,7325.282,true,none,4
2025-12-09 10:09:38.562,smart_meter,send_encrypted_data,334157,0.423,6319.754,true,none,5
2025-12-09 10:09:38.562,smart_meter,send_encrypted_data,334110,0.423,6318.865,true,none,3
2025-12-09 10:10:38.802,smart_meter,send_encrypted_data,334428,0.493,5426.824,true,none,2
2025-12-09 10:10:38.802,smart_meter,send_encrypted_data,334401,0.497,5382.712,true,none,6
2025-12-09 10:10:38.802,smart_meter,send_encrypted_data,333808,0.497,5373.167,true,none,8
2025-12-09 10:10:38.803,smart_meter,send_encrypted_data,334279,0.578,4626.699,true,none,1
2025-12-09 10:10:38.803,smart_meter,send_encrypted_data,334247,0.429,6233.044,true,none,10
2025-12-09 10:10:38.802,smart_meter,send_encrypted_data,334459,0.476,5621.160,true,none,9
2025-12-09 10:10:38.804,smart_meter,send_encrypted_data,334372,0.350,7642.789,true,none,7
2025-12-09 10:10:38.824,smart_meter,send_encrypted_data,334303,0.589,4540.618,true,none,3
2025-12-09 10:10:38.824,smart_meter,send_encrypted_data,334444,0.592,4519.514,true,none,5
2025-12-09 10:10:38.824,smart_meter,send_encrypted_data,334125,0.470,5687.234,true,none,4
2025-12-09 10:11:39.073,smart_meter,send_encrypted_data,333842,0.364,7337.187,true,none,2
2025-12-09 10:11:39.073,smart_meter,send_encrypted_data,334227,0.402,6651.284,true,none,9
2025-12-09 10:11:39.073,smart_meter,send_encrypted_data,334416,0.386,6930.902,true,none,8
2025-12-09 10:11:39.074,smart_meter,send_encrypted_data,334314,1.232,2170.870,true,none,6
2025-12-09 10:11:39.075,smart_meter,send_encrypted_data,334443,0.396,6756.424,true,none,10
2025-12-09 10:11:39.075,smart_meter,send_encrypted_data,334164,0.354,7551.729,true,none,1
2025-12-09 10:11:39.075,smart_meter,send_encrypted_data,334093,0.340,7861.012,true,none,7
2025-12-09 10:11:39.081,smart_meter,send_encrypted_data,334053,0.377,7088.658,true,none,3
2025-12-09 10:11:39.081,smart_meter,send_encrypted_data,334182,0.401,6666.973,true,none,4
2025-12-09 10:11:39.081,smart_meter,send_encrypted_data,334253,0.397,6735.577,true,none,5
2025-12-09 10:12:39.345,smart_meter,send_encrypted_data,334229,0.360,7427.311,true,none,7
2025-12-09 10:12:39.345,smart_meter,send_encrypted_data,333496,0.394,6771.492,true,none,10
2025-12-09 10:12:39.345,smart_meter,send_encrypted_data,334381,0.381,7021.123,true,none,8
2025-12-09 10:12:39.345,smart_meter,send_encrypted_data,334244,0.362,7386.608,true,none,2
2025-12-09 10:12:39.346,smart_meter,send_encrypted_data,334361,0.368,7268.717,true,none,5
2025-12-09 10:12:39.346,smart_meter,send_encrypted_data,334162,0.379,7053.551,true,none,1
2025-12-09 10:12:39.346,smart_meter,send_encrypted_data,334218,0.387,6908.899,true,none,6
2025-12-09 10:12:39.347,smart_meter,send_encrypted_data,334217,0.676,3955.231,true,none,9
2025-12-09 10:12:39.347,smart_meter,send_encrypted_data,334115,0.331,8075.287,true,none,3
2025-12-09 10:12:39.347,smart_meter,send_encrypted_data,334493,1.758,1522.152,true,none,4
2025-12-09 10:13:39.616,smart_meter,send_encrypted_data,334322,0.435,6148.451,true,none,4
2025-12-09 10:13:39.616,smart_meter,send_encrypted_data,333661,0.429,6222.117,true,none,3
2025-12-09 10:13:39.616,smart_meter,send_encrypted_data,334166,0.408,6552.275,true,none,9
2025-12-09 10:13:39.616,smart_meter,send_encrypted_data,334398,0.400,6687.960,true,none,5
2025-12-09 10:13:39.617,smart_meter,send_encrypted_data,334365,0.585,4572.513,true,none,6
2025-12-09 10:13:39.617,smart_meter,send_encrypted_data,334148,0.590,4530.820,true,none,8
2025-12-09 10:13:39.618,smart_meter,send_encrypted_data,334181,0.471,5676.110,true,none,2
2025-12-09 10:13:39.618,smart_meter,send_encrypted_data,334354,0.463,5777.175,true,none,7
2025-12-09 10:13:39.618,smart_meter,send_encrypted_data,334319,0.466,5739.382,true,none,1
2025-12-09 10:13:39.618,smart_meter,send_encrypted_data,334229,0.505,5294.717,true,none,10
2025-12-09 10:14:39.887,smart_meter,send_encrypted_data,334250,0.434,6161.290,true,none,6
2025-12-09 10:14:39.887,smart_meter,send_encrypted_data,334517,0.508,5267.984,true,none,2
2025-12-09 10:14:39.887,smart_meter,send_encrypted_data,334003,0.406,6581.340,true,none,9
2025-12-09 10:14:39.887,smart_meter,send_encrypted_data,334079,0.371,7203.860,true,none,10
2025-12-09 10:14:39.887,smart_meter,send_encrypted_data,334414,0.542,4936.000,true,none,4
2025-12-09 10:14:39.888,smart_meter,send_encrypted_data,334119,0.945,2828.521,true,none,3
2025-12-09 10:14:39.888,smart_meter,send_encrypted_data,334119,0.488,5477.361,true,none,7
2025-12-09 10:14:39.888,smart_meter,send_encrypted_data,334266,0.382,7000.335,true,none,1
2025-12-09 10:14:39.888,smart_meter,send_encrypted_data,334081,1.333,2004.987,true,none,8
2025-12-09 10:14:39.890,smart_meter,send_encrypted_data,334126,4.120,648.788,true,none,5
2025-12-09 10:15:40.157,smart_meter,send_encrypted_data,334458,0.473,5656.795,true,none,5
2025-12-09 10:15:40.157,smart_meter,send_encrypted_data,334238,0.464,5762.724,true,none,1
2025-12-09 10:15:40.157,smart_meter,send_encrypted_data,334169,0.401,6666.713,true,none,8
2025-12-09 10:15:40.157,smart_meter,send_encrypted_data,334279,0.381,7018.982,true,none,10
2025-12-09 10:15:40.158,smart_meter,send_encrypted_data,334290,0.472,5665.932,true,none,2
2025-12-09 10:15:40.158,smart_meter,send_encrypted_data,334431,0.454,5893.057,true,none,9
2025-12-09 10:15:40.158,smart_meter,send_encrypted_data,334500,0.455,5881.319,true,none,7
2025-12-09 10:15:40.158,smart_meter,send_encrypted_data,334255,0.419,6381.957,true,none,3
2025-12-09 10:15:40.158,smart_meter,send_encrypted_data,334307,0.351,7619.533,true,none,4
2025-12-09 10:15:40.160,smart_meter,send_encrypted_data,334339,0.934,2863.717,true,none,6
2025-12-09 10:16:40.429,smart_meter,send_encrypted_data,334091,0.448,5965.911,true,none,7
2025-12-09 10:16:40.429,smart_meter,send_encrypted_data,334399,0.443,6038.808,true,none,1
2025-12-09 10:16:40.429,smart_meter,send_encrypted_data,333906,0.440,6071.018,true,none,3
2025-12-09 10:16:40.430,smart_meter,send_encrypted_data,334393,0.525,5095.512,true,none,6
2025-12-09 10:16:40.430,smart_meter,send_encrypted_data,334020,0.392,6816.735,true,none,10
2025-12-09 10:16:40.430,smart_meter,send_encrypted_data,334069,0.361,7403.191,true,none,4
2025-12-09 10:16:40.431,smart_meter,send_encrypted_data,334545,0.335,7989.134,true,none,2
2025-12-09 10:16:40.431,smart_meter,send_encrypted_data,334361,0.361,7409.662,true,none,5
2025-12-09 10:16:40.431,smart_meter,send_encrypted_data,334344,0.373,7170.917,true,none,9
2025-12-09 10:16:40.433,smart_meter,send_encrypted_data,334252,0.826,3237.308,true,none,8
