timestamp,num_smart_meters,total_aggregation_time_ms,memory_usage_mb,cpu_usage_percent,parallel_connections,avg_response_time_ms,throughput_ops_per_sec,cycle_number
2025-12-12 15:32:58.141,500,1765553578141.790,0.000,0.000,500,5.000,0.000,0
2025-12-12 15:34:03.428,500,1765553643428.164,0.000,0.000,500,5.000,0.000,0
2025-12-12 15:35:08.808,500,1765553708808.422,0.000,0.000,500,5.000,0.000,0
2025-12-12 15:36:14.103,500,1765553774103.312,0.000,0.000,500,5.000,0.000,0
2025-12-12 15:37:19.380,500,1765553839380.107,0.000,0.000,500,5.000,0.000,0
2025-12-12 15:38:24.755,500,1765553904755.836,0.000,0.000,500,5.000,0.000,0
2025-12-12 15:39:30.130,500,1765553970130.516,0.000,0.000,500,5.000,0.000,0
2025-12-12 15:40:35.407,500,1765554035407.486,0.000,0.000,500,5.000,0.000,0
2025-12-12 15:41:40.676,500,1765554100676.427,0.000,0.000,500,5.000,0.000,0
2025-12-12 15:42:46.049,500,1765554166049.830,0.000,0.000,500,5.000,0.000,0
2025-12-12 15:43:51.422,500,1765554231422.482,0.000,0.000,500,5.000,0.000,0
2025-12-12 15:44:56.805,500,1765554296805.023,0.000,0.000,500,5.000,0.000,0
2025-12-12 15:46:02.111,500,1765554362111.003,0.000,0.000,500,5.000,0.000,0
2025-12-12 15:47:07.385,500,1765554427385.891,0.000,0.000,500,5.000,0.000,0
2025-12-12 15:48:12.756,500,1765554492756.877,0.000,0.000,500,5.000,0.000,0
2025-12-12 15:49:18.141,500,1765554558141.255,0.000,0.000,500,5.000,0.000,0
2025-12-12 15:50:23.511,500,1765554623511.090,0.000,0.000,500,5.000,0.000,0
2025-12-12 15:51:28.781,500,1765554688781.807,0.000,0.000,500,5.000,0.000,0
2025-12-12 15:52:34.164,500,1765554754164.203,0.000,0.000,500,5.000,0.000,0
2025-12-12 15:53:39.535,500,1765554819535.517,0.000,0.000,500,5.000,0.000,0
2025-12-12 15:54:45.018,500,1765554885018.267,0.000,0.000,500,5.000,0.000,0
2025-12-12 15:55:50.386,500,1765554950386.923,0.000,0.000,500,5.000,0.000,0
2025-12-12 15:56:55.766,500,1765555015766.869,0.000,0.000,500,5.000,0.000,0
2025-12-12 15:58:01.144,500,1765555081144.518,0.000,0.000,500,5.000,0.000,0
2025-12-12 15:59:06.528,500,1765555146528.242,0.000,0.000,500,5.000,0.000,0
2025-12-12 16:00:12.013,500,1765555212013.218,0.000,0.000,500,5.000,0.000,0
2025-12-12 16:01:17.487,500,1765555277487.260,0.000,0.000,500,5.000,0.000,0
2025-12-12 16:02:22.794,500,1765555342794.976,0.000,0.000,500,5.000,0.000,0
2025-12-12 16:03:28.181,500,1765555408181.879,0.000,0.000,500,5.000,0.000,0
2025-12-12 16:04:33.457,500,1765555473457.272,0.000,0.000,500,5.000,0.000,0
2025-12-12 16:05:38.925,500,1765555538925.384,0.000,0.000,500,5.000,0.000,0
2025-12-12 16:06:44.237,500,1765555604237.732,0.000,0.000,500,5.000,0.000,0
2025-12-12 16:07:49.616,500,1765555669616.112,0.000,0.000,500,5.000,0.000,0
2025-12-12 16:08:54.994,500,1765555734994.121,0.000,0.000,500,5.000,0.000,0
2025-12-12 16:10:00.269,500,1765555800269.535,0.000,0.000,500,5.000,0.000,0
2025-12-12 16:11:05.535,500,1765555865535.890,0.000,0.000,500,5.000,0.000,0
2025-12-12 16:12:10.904,500,1765555930904.793,0.000,0.000,500,5.000,0.000,0
2025-12-12 16:13:16.269,500,1765555996269.843,0.000,0.000,500,5.000,0.000,0
2025-12-12 16:14:21.658,500,1765556061658.382,0.000,0.000,500,5.000,0.000,0
2025-12-12 16:15:26.952,500,1765556126952.354,0.000,0.000,500,5.000,0.000,0
2025-12-12 16:16:32.343,500,1765556192343.358,0.000,0.000,500,5.000,0.000,0
2025-12-12 16:17:37.614,500,1765556257614.729,0.000,0.000,500,5.000,0.000,0
2025-12-12 16:18:42.984,500,1765556322984.651,0.000,0.000,500,5.000,0.000,0
2025-12-12 16:19:48.357,500,1765556388357.750,0.000,0.000,500,5.000,0.000,0
2025-12-12 16:20:53.731,500,1765556453731.951,0.000,0.000,500,5.000,0.000,0
2025-12-12 16:21:59.002,500,1765556519002.520,0.000,0.000,500,5.000,0.000,0
2025-12-12 16:23:04.474,500,1765556584474.617,0.000,0.000,500,5.000,0.000,0
2025-12-12 16:24:09.762,500,1765556649762.257,0.000,0.000,500,5.000,0.000,0
2025-12-12 16:25:15.138,500,1765556715138.471,0.000,0.000,500,5.000,0.000,0
2025-12-12 16:26:20.495,500,1765556780495.627,0.000,0.000,500,5.000,0.000,0
2025-12-12 16:27:25.868,500,1765556845868.144,0.000,0.000,500,5.000,0.000,0
2025-12-12 16:28:31.232,500,1765556911232.894,0.000,0.000,500,5.000,0.000,0
2025-12-12 16:29:36.528,500,1765556976528.491,0.000,0.000,500,5.000,0.000,0
