timestamp,num_smart_meters,total_aggregation_time_ms,memory_usage_mb,cpu_usage_percent,parallel_connections,avg_response_time_ms,throughput_ops_per_sec,cycle_number
2025-12-12 17:50:48.631,500,1765561848631.410,0.000,0.000,500,5.000,0.000,0
2025-12-12 17:51:43.878,500,1765561903878.122,0.000,0.000,500,5.000,0.000,0
2025-12-12 17:52:49.247,500,1765561969247.616,0.000,0.000,500,5.000,0.000,0
2025-12-12 17:53:54.603,500,1765562034603.693,0.000,0.000,500,5.000,0.000,0
2025-12-12 17:54:59.880,500,1765562099880.946,0.000,0.000,500,5.000,0.000,0
2025-12-12 17:56:05.254,500,1765562165254.090,0.000,0.000,500,5.000,0.000,0
2025-12-12 17:57:10.515,500,1765562230515.805,0.000,0.000,500,5.000,0.000,0
2025-12-12 17:58:15.874,500,1765562295874.448,0.000,0.000,500,5.000,0.000,0
2025-12-12 17:59:21.231,500,1765562361231.263,0.000,0.000,500,5.000,0.000,0
2025-12-12 18:00:26.501,500,1765562426501.168,0.000,0.000,500,5.000,0.000,0
2025-12-12 18:01:31.861,500,1765562491861.751,0.000,0.000,500,5.000,0.000,0
2025-12-12 18:02:37.224,500,1765562557224.145,0.000,0.000,500,5.000,0.000,0
2025-12-12 18:03:42.582,500,1765562622582.481,0.000,0.000,500,5.000,0.000,0
2025-12-12 18:04:47.841,500,1765562687841.447,0.000,0.000,500,5.000,0.000,0
2025-12-12 18:05:53.098,500,1765562753098.647,0.000,0.000,500,5.000,0.000,0
2025-12-12 18:06:58.457,500,1765562818457.094,0.000,0.000,500,5.000,0.000,0
2025-12-12 18:08:03.719,500,1765562883719.728,0.000,0.000,500,5.000,0.000,0
2025-12-12 18:09:09.079,500,1765562949079.005,0.000,0.000,500,5.000,0.000,0
2025-12-12 18:10:14.444,500,1765563014444.605,0.000,0.000,500,5.000,0.000,0
2025-12-12 18:11:19.992,500,1765563079992.294,0.000,0.000,500,5.000,0.000,0
