timestamp,algorithm,poly_modulus_degree,scale_bits,plaintext_size_bytes,ciphertext_size_bytes,encryption_time_ms,communication_overhead,security_level_bits,meter_id
2025-12-12 15:15:04.923,CKKS,16384,40,8,658066,13.044,82258.250,192,357
2025-12-12 15:15:05.002,CKKS,16384,40,8,658246,13.408,82280.750,192,373
2025-12-12 15:15:05.017,CKKS,16384,40,8,657341,16.576,82167.625,192,341
2025-12-12 15:15:05.023,CKKS,16384,40,8,658256,9.109,82282.000,192,48
2025-12-12 15:15:05.023,CKKS,16384,40,8,658307,14.705,82288.375,192,228
2025-12-12 15:15:05.063,CKKS,16384,40,8,657316,9.022,82164.500,192,325
2025-12-12 15:15:05.077,CKKS,16384,40,8,658004,9.253,82250.500,192,15
2025-12-12 15:15:05.119,CKKS,16384,40,8,657315,14.771,82164.375,192,389
2025-12-12 15:15:05.120,CKKS,16384,40,8,658136,14.578,82267.000,192,81
2025-12-12 15:15:05.136,CKKS,16384,40,8,657449,9.091,82181.125,192,309
2025-12-12 15:15:05.157,CKKS,16384,40,8,658242,8.625,82280.250,192,163
2025-12-12 15:15:05.160,CKKS,16384,40,8,657529,9.182,82191.125,192,405
2025-12-12 15:15:05.212,CKKS,16384,40,8,658311,8.968,82288.875,192,421
2025-12-12 15:15:05.271,CKKS,16384,40,8,657307,9.277,82163.375,192,114
2025-12-12 15:15:05.317,CKKS,16384,40,8,658100,9.384,82262.500,192,293
2025-12-12 15:15:05.328,CKKS,16384,40,8,658120,12.415,82265.000,192,212
2025-12-12 15:15:05.329,CKKS,16384,40,8,656065,14.585,82008.125,192,437
2025-12-12 15:15:05.494,CKKS,16384,40,8,656922,9.272,82115.250,192,453
2025-12-12 15:15:05.494,CKKS,16384,40,8,657334,9.404,82166.750,192,277
2025-12-12 15:15:05.525,CKKS,16384,40,8,657790,9.017,82223.750,192,147
2025-12-12 15:15:05.564,CKKS,16384,40,8,658144,9.306,82268.000,192,196
2025-12-12 15:15:05.585,CKKS,16384,40,8,657800,9.278,82225.000,192,32
2025-12-12 15:15:05.596,CKKS,16384,40,8,658177,11.498,82272.125,192,65
2025-12-12 15:15:05.634,CKKS,16384,40,8,657804,8.918,82225.500,192,469
2025-12-12 15:15:05.680,CKKS,16384,40,8,657382,9.078,82172.750,192,261
2025-12-12 15:15:05.725,CKKS,16384,40,8,657791,9.120,82223.875,192,98
2025-12-12 15:15:05.794,CKKS,16384,40,8,657693,9.861,82211.625,192,485
2025-12-12 15:15:05.905,CKKS,16384,40,8,657665,10.956,82208.125,192,245
2025-12-12 15:15:05.927,CKKS,16384,40,8,657311,10.533,82163.875,192,180
2025-12-12 15:15:05.995,CKKS,16384,40,8,657381,14.427,82172.625,192,131
2025-12-12 15:15:06.133,CKKS,16384,40,8,657409,13.785,82176.125,192,358
2025-12-12 15:15:06.204,CKKS,16384,40,8,657336,18.615,82167.000,192,342
2025-12-12 15:15:06.205,CKKS,16384,40,8,657394,19.495,82174.250,192,374
2025-12-12 15:15:06.267,CKKS,16384,40,8,657801,9.295,82225.125,192,49
2025-12-12 15:15:06.278,CKKS,16384,40,8,658175,10.694,82271.875,192,229
2025-12-12 15:15:06.290,CKKS,16384,40,8,657405,10.583,82175.625,192,16
2025-12-12 15:15:06.312,CKKS,16384,40,8,658155,9.653,82269.375,192,82
2025-12-12 15:15:06.395,CKKS,16384,40,8,657961,11.926,82245.125,192,326
2025-12-12 15:15:06.396,CKKS,16384,40,8,658258,12.762,82282.250,192,390
2025-12-12 15:15:06.425,CKKS,16384,40,8,658267,9.507,82283.375,192,164
2025-12-12 15:15:06.461,CKKS,16384,40,8,657338,12.530,82167.250,192,310
2025-12-12 15:15:06.467,CKKS,16384,40,8,657472,14.811,82184.000,192,406
2025-12-12 15:15:06.511,CKKS,16384,40,8,658181,9.912,82272.625,192,422
2025-12-12 15:15:06.514,CKKS,16384,40,8,657885,12.780,82235.625,192,115
2025-12-12 15:15:06.590,CKKS,16384,40,8,656022,10.288,82002.750,192,213
2025-12-12 15:15:06.630,CKKS,16384,40,8,657303,9.565,82162.875,192,294
2025-12-12 15:15:06.635,CKKS,16384,40,8,658249,11.472,82281.125,192,438
2025-12-12 15:15:06.757,CKKS,16384,40,8,657991,9.514,82248.875,192,278
2025-12-12 15:15:06.811,CKKS,16384,40,8,657783,9.767,82222.875,192,454
2025-12-12 15:15:06.836,CKKS,16384,40,8,657591,9.188,82198.875,192,148
2025-12-12 15:15:06.883,CKKS,16384,40,8,657508,9.184,82188.500,192,197
2025-12-12 15:15:06.897,CKKS,16384,40,8,658136,9.722,82267.000,192,66
2025-12-12 15:15:06.908,CKKS,16384,40,8,657272,9.085,82159.000,192,33
2025-12-12 15:15:06.927,CKKS,16384,40,8,657626,8.841,82203.250,192,470
2025-12-12 15:15:06.945,CKKS,16384,40,8,658028,8.884,82253.500,192,262
2025-12-12 15:15:06.966,CKKS,16384,40,8,658124,8.893,82265.500,192,99
2025-12-12 15:15:07.087,CKKS,16384,40,8,658120,14.327,82265.000,192,486
2025-12-12 15:15:07.149,CKKS,16384,40,8,657345,9.446,82168.125,192,246
2025-12-12 15:15:07.211,CKKS,16384,40,8,658254,9.478,82281.750,192,181
2025-12-12 15:15:07.316,CKKS,16384,40,8,657474,9.204,82184.250,192,132
2025-12-12 15:15:07.366,CKKS,16384,40,8,658015,9.527,82251.875,192,359
2025-12-12 15:15:07.410,CKKS,16384,40,8,658302,9.412,82287.750,192,375
2025-12-12 15:15:07.423,CKKS,16384,40,8,657915,11.046,82239.375,192,50
2025-12-12 15:15:07.456,CKKS,16384,40,8,656192,10.210,82024.000,192,343
2025-12-12 15:15:07.462,CKKS,16384,40,8,658028,14.428,82253.500,192,17
2025-12-12 15:15:07.463,CKKS,16384,40,8,658166,14.962,82270.750,192,230
2025-12-12 15:15:07.489,CKKS,16384,40,8,658146,9.277,82268.250,192,83
2025-12-12 15:15:07.513,CKKS,16384,40,8,658007,9.263,82250.875,192,327
2025-12-12 15:15:07.542,CKKS,16384,40,8,657492,9.400,82186.500,192,391
2025-12-12 15:15:07.567,CKKS,16384,40,8,657159,9.136,82144.875,192,165
2025-12-12 15:15:07.602,CKKS,16384,40,8,657339,9.256,82167.375,192,311
2025-12-12 15:15:07.631,CKKS,16384,40,8,658273,9.009,82284.125,192,407
2025-12-12 15:15:07.719,CKKS,16384,40,8,657605,9.504,82200.625,192,423
2025-12-12 15:15:07.794,CKKS,16384,40,8,657797,9.450,82224.625,192,214
2025-12-12 15:15:07.837,CKKS,16384,40,8,657285,9.563,82160.625,192,295
2025-12-12 15:15:07.837,CKKS,16384,40,8,658112,9.365,82264.000,192,116
2025-12-12 15:15:07.846,CKKS,16384,40,8,658205,12.712,82275.625,192,439
2025-12-12 15:15:07.966,CKKS,16384,40,8,658126,10.831,82265.750,192,279
2025-12-12 15:15:07.993,CKKS,16384,40,8,657391,9.367,82173.875,192,149
2025-12-12 15:15:08.014,CKKS,16384,40,8,658046,9.990,82255.750,192,455
2025-12-12 15:15:08.075,CKKS,16384,40,8,657404,10.664,82175.500,192,34
2025-12-12 15:15:08.095,CKKS,16384,40,8,658024,10.204,82253.000,192,198
2025-12-12 15:15:08.114,CKKS,16384,40,8,657599,10.385,82199.875,192,67
2025-12-12 15:15:08.162,CKKS,16384,40,8,657828,9.425,82228.500,192,263
2025-12-12 15:15:08.179,CKKS,16384,40,8,657429,9.269,82178.625,192,471
2025-12-12 15:15:08.242,CKKS,16384,40,8,657679,10.861,82209.875,192,100
2025-12-12 15:15:08.275,CKKS,16384,40,8,657992,9.174,82249.000,192,1
2025-12-12 15:15:08.364,CKKS,16384,40,8,658175,10.593,82271.875,192,487
